"id","cuisine","set"
28851,"italian","train"
4635,"greek","train"
7782,"korean","train"
8031,"indian","train"
49434,"mexican","train"
31318,"southern_us","train"
31027,"irish","train"
47095,"korean","train"
4574,"chinese","train"
19757,"mexican","train"
35570,"southern_us","train"
44812,"chinese","train"
27858,"moroccan","train"
18624,"irish","train"
9406,"chinese","train"
35132,"irish","train"
33071,"mexican","train"
8321,"italian","train"
20955,"italian","train"
45776,"italian","train"
6043,"jamaican","train"
336,"mexican","train"
25751,"japanese","train"
793,"spanish","train"
34367,"chinese","train"
7406,"mexican","train"
7473,"british","train"
7532,"indian","train"
5924,"thai","train"
5802,"southern_us","train"
41078,"mexican","train"
20665,"spanish","train"
39471,"french","train"
9595,"italian","train"
27869,"indian","train"
44776,"british","train"
17771,"spanish","train"
43970,"italian","train"
27165,"korean","train"
11190,"indian","train"
21872,"mexican","train"
29853,"mexican","train"
1154,"southern_us","train"
9069,"french","train"
46975,"cajun_creole","train"
4892,"indian","train"
21467,"chinese","train"
20919,"italian","train"
42013,"italian","train"
17821,"italian","train"
44138,"southern_us","train"
5980,"greek","train"
41961,"japanese","train"
27008,"cajun_creole","train"
31867,"italian","train"
34248,"korean","train"
13792,"mexican","train"
38502,"indian","train"
7023,"italian","train"
7783,"mexican","train"
2472,"korean","train"
45193,"chinese","train"
7501,"french","train"
34930,"chinese","train"
42967,"spanish","train"
14080,"chinese","train"
45352,"spanish","train"
46205,"japanese","train"
47427,"mexican","train"
40064,"french","train"
9010,"japanese","train"
18611,"mexican","train"
35124,"italian","train"
45605,"filipino","train"
16334,"southern_us","train"
32035,"italian","train"
16810,"italian","train"
3641,"chinese","train"
43374,"mexican","train"
9112,"indian","train"
14970,"korean","train"
41396,"mexican","train"
4748,"mexican","train"
41833,"japanese","train"
18031,"greek","train"
29734,"mexican","train"
26415,"southern_us","train"
29801,"chinese","train"
24351,"british","train"
8480,"japanese","train"
27023,"italian","train"
10425,"mexican","train"
37188,"irish","train"
24338,"greek","train"
3457,"cajun_creole","train"
1355,"japanese","train"
40738,"italian","train"
42380,"southern_us","train"
16857,"southern_us","train"
2923,"southern_us","train"
7528,"italian","train"
15990,"indian","train"
27615,"chinese","train"
26061,"japanese","train"
23053,"mexican","train"
5090,"mexican","train"
36862,"french","train"
873,"mexican","train"
23726,"mexican","train"
48576,"irish","train"
25118,"chinese","train"
17586,"mexican","train"
22678,"greek","train"
428,"korean","train"
6745,"mexican","train"
31009,"spanish","train"
20983,"italian","train"
19572,"southern_us","train"
15273,"italian","train"
14198,"mexican","train"
18643,"french","train"
17816,"mexican","train"
46893,"french","train"
1110,"filipino","train"
21375,"mexican","train"
42833,"mexican","train"
5328,"italian","train"
17188,"mexican","train"
19622,"southern_us","train"
26498,"italian","train"
27140,"japanese","train"
32353,"italian","train"
37070,"mexican","train"
2298,"mexican","train"
15291,"southern_us","train"
8274,"southern_us","train"
23521,"italian","train"
28342,"jamaican","train"
8791,"italian","train"
242,"korean","train"
15347,"southern_us","train"
20981,"indian","train"
39391,"italian","train"
23147,"indian","train"
44020,"mexican","train"
3245,"korean","train"
40403,"southern_us","train"
33603,"vietnamese","train"
19691,"korean","train"
6862,"indian","train"
20123,"southern_us","train"
22712,"mexican","train"
31428,"mexican","train"
9373,"italian","train"
7666,"italian","train"
40617,"korean","train"
26676,"thai","train"
38067,"southern_us","train"
14778,"chinese","train"
636,"french","train"
35408,"greek","train"
22658,"southern_us","train"
44866,"mexican","train"
18389,"indian","train"
40014,"southern_us","train"
20863,"mexican","train"
35041,"japanese","train"
30649,"british","train"
14351,"japanese","train"
14146,"mexican","train"
48911,"filipino","train"
4252,"mexican","train"
46135,"mexican","train"
20668,"indian","train"
4009,"mexican","train"
40466,"indian","train"
32480,"greek","train"
8223,"italian","train"
4114,"mexican","train"
3605,"chinese","train"
41363,"cajun_creole","train"
23437,"italian","train"
9291,"mexican","train"
45423,"italian","train"
31462,"italian","train"
45412,"italian","train"
33048,"chinese","train"
42879,"italian","train"
6164,"thai","train"
37704,"southern_us","train"
29489,"italian","train"
6115,"mexican","train"
9829,"filipino","train"
36254,"indian","train"
23839,"filipino","train"
40283,"italian","train"
11108,"italian","train"
42685,"mexican","train"
23629,"mexican","train"
36565,"italian","train"
42083,"indian","train"
26032,"indian","train"
19811,"thai","train"
30382,"vietnamese","train"
49175,"cajun_creole","train"
41668,"mexican","train"
9206,"mexican","train"
7322,"southern_us","train"
23637,"chinese","train"
43650,"italian","train"
45593,"korean","train"
38706,"french","train"
38433,"chinese","train"
47826,"british","train"
7171,"indian","train"
18231,"chinese","train"
34385,"korean","train"
12340,"chinese","train"
33221,"indian","train"
43228,"italian","train"
3416,"italian","train"
23636,"chinese","train"
22822,"indian","train"
801,"southern_us","train"
42007,"korean","train"
20792,"vietnamese","train"
44500,"indian","train"
19004,"japanese","train"
41301,"moroccan","train"
16712,"moroccan","train"
28250,"italian","train"
34209,"indian","train"
1667,"mexican","train"
48571,"mexican","train"
10074,"mexican","train"
43711,"southern_us","train"
6440,"chinese","train"
36583,"cajun_creole","train"
10003,"french","train"
24738,"indian","train"
20039,"chinese","train"
29446,"southern_us","train"
45711,"french","train"
45039,"thai","train"
46417,"mexican","train"
48080,"mexican","train"
15882,"french","train"
49263,"italian","train"
45956,"italian","train"
40509,"french","train"
11665,"greek","train"
22997,"italian","train"
44271,"indian","train"
29887,"filipino","train"
1764,"french","train"
40300,"moroccan","train"
45296,"indian","train"
24365,"vietnamese","train"
34996,"thai","train"
47623,"mexican","train"
26464,"mexican","train"
18329,"filipino","train"
43437,"italian","train"
25375,"chinese","train"
26631,"italian","train"
26172,"cajun_creole","train"
19747,"korean","train"
38346,"russian","train"
31903,"italian","train"
12099,"irish","train"
38717,"vietnamese","train"
30335,"japanese","train"
15171,"chinese","train"
31425,"cajun_creole","train"
36118,"italian","train"
18190,"french","train"
33717,"moroccan","train"
15460,"southern_us","train"
21052,"brazilian","train"
35729,"chinese","train"
45841,"korean","train"
1182,"italian","train"
15229,"italian","train"
31209,"italian","train"
18271,"spanish","train"
14202,"southern_us","train"
10111,"italian","train"
1128,"italian","train"
37109,"french","train"
9952,"italian","train"
11164,"italian","train"
9852,"mexican","train"
45574,"greek","train"
22581,"french","train"
9082,"spanish","train"
30985,"japanese","train"
42612,"italian","train"
38754,"japanese","train"
45037,"greek","train"
33197,"japanese","train"
13005,"chinese","train"
18203,"mexican","train"
10210,"italian","train"
38581,"thai","train"
32489,"chinese","train"
26647,"mexican","train"
34240,"british","train"
8579,"japanese","train"
49639,"mexican","train"
17120,"mexican","train"
27213,"southern_us","train"
18621,"indian","train"
35302,"cajun_creole","train"
27648,"japanese","train"
17658,"greek","train"
24029,"chinese","train"
45990,"thai","train"
20692,"chinese","train"
37593,"cajun_creole","train"
46635,"indian","train"
20149,"italian","train"
623,"brazilian","train"
12048,"mexican","train"
48523,"chinese","train"
16797,"italian","train"
23336,"french","train"
15645,"mexican","train"
39904,"greek","train"
35962,"russian","train"
9138,"southern_us","train"
47406,"irish","train"
30250,"vietnamese","train"
26545,"southern_us","train"
13554,"jamaican","train"
44562,"indian","train"
3820,"korean","train"
49668,"italian","train"
27688,"italian","train"
31969,"italian","train"
33085,"french","train"
20061,"italian","train"
24552,"thai","train"
27204,"mexican","train"
8304,"italian","train"
28063,"italian","train"
38473,"thai","train"
84,"greek","train"
12152,"southern_us","train"
25201,"mexican","train"
22633,"italian","train"
41282,"italian","train"
3040,"cajun_creole","train"
29033,"thai","train"
40224,"mexican","train"
24640,"irish","train"
49262,"japanese","train"
28657,"mexican","train"
18842,"italian","train"
27019,"mexican","train"
2982,"italian","train"
33222,"italian","train"
39361,"southern_us","train"
13489,"indian","train"
36461,"italian","train"
20757,"french","train"
35136,"japanese","train"
30327,"southern_us","train"
43455,"italian","train"
36947,"mexican","train"
28056,"british","train"
7530,"mexican","train"
47505,"mexican","train"
16520,"french","train"
35311,"moroccan","train"
22833,"chinese","train"
14398,"korean","train"
29168,"indian","train"
22461,"chinese","train"
13615,"southern_us","train"
6360,"italian","train"
40360,"mexican","train"
40182,"southern_us","train"
31438,"cajun_creole","train"
31798,"southern_us","train"
14342,"spanish","train"
14385,"italian","train"
14308,"vietnamese","train"
33841,"korean","train"
12830,"chinese","train"
23096,"italian","train"
34026,"southern_us","train"
30835,"filipino","train"
15072,"filipino","train"
1121,"chinese","train"
18376,"italian","train"
17815,"italian","train"
32878,"southern_us","train"
24410,"british","train"
35010,"french","train"
37236,"mexican","train"
6967,"mexican","train"
29316,"mexican","train"
24947,"chinese","train"
7090,"chinese","train"
4615,"mexican","train"
48722,"irish","train"
32474,"italian","train"
26667,"brazilian","train"
32316,"mexican","train"
38292,"jamaican","train"
41733,"irish","train"
2799,"italian","train"
28442,"italian","train"
26001,"cajun_creole","train"
22268,"greek","train"
41763,"mexican","train"
11259,"mexican","train"
19011,"mexican","train"
2896,"italian","train"
16848,"southern_us","train"
961,"spanish","train"
1066,"italian","train"
5687,"moroccan","train"
23449,"french","train"
45377,"mexican","train"
11696,"jamaican","train"
36636,"french","train"
12951,"mexican","train"
42897,"indian","train"
34784,"vietnamese","train"
28042,"mexican","train"
5901,"french","train"
42020,"italian","train"
23723,"filipino","train"
30790,"italian","train"
42115,"irish","train"
26551,"greek","train"
5659,"irish","train"
23956,"italian","train"
46253,"indian","train"
6799,"vietnamese","train"
18528,"italian","train"
25539,"italian","train"
37742,"mexican","train"
24771,"thai","train"
2846,"japanese","train"
14720,"indian","train"
18482,"cajun_creole","train"
13266,"southern_us","train"
9344,"mexican","train"
44068,"indian","train"
35907,"mexican","train"
33161,"french","train"
27258,"mexican","train"
19095,"chinese","train"
21156,"italian","train"
15700,"mexican","train"
49047,"korean","train"
15264,"moroccan","train"
43665,"mexican","train"
46391,"italian","train"
44556,"southern_us","train"
32781,"mexican","train"
37258,"italian","train"
20195,"french","train"
18970,"italian","train"
28111,"mexican","train"
1234,"italian","train"
41240,"japanese","train"
33361,"mexican","train"
45621,"french","train"
44623,"mexican","train"
17122,"indian","train"
7627,"italian","train"
47321,"thai","train"
39087,"chinese","train"
18909,"chinese","train"
3496,"indian","train"
37033,"mexican","train"
38250,"southern_us","train"
16949,"southern_us","train"
48744,"mexican","train"
22946,"mexican","train"
45784,"italian","train"
42438,"japanese","train"
24673,"southern_us","train"
26760,"italian","train"
8208,"italian","train"
18922,"italian","train"
18523,"mexican","train"
8593,"italian","train"
5821,"cajun_creole","train"
22818,"italian","train"
43692,"italian","train"
32916,"italian","train"
14570,"mexican","train"
44765,"italian","train"
20979,"french","train"
7285,"southern_us","train"
4733,"irish","train"
3268,"mexican","train"
689,"italian","train"
22040,"mexican","train"
45336,"indian","train"
14946,"indian","train"
21933,"korean","train"
40292,"japanese","train"
32722,"thai","train"
4470,"indian","train"
16340,"mexican","train"
4429,"french","train"
34262,"mexican","train"
37752,"italian","train"
45448,"japanese","train"
40733,"italian","train"
32734,"greek","train"
25478,"italian","train"
16170,"italian","train"
8258,"italian","train"
26380,"spanish","train"
11995,"vietnamese","train"
30926,"indian","train"
8547,"greek","train"
8715,"southern_us","train"
41161,"cajun_creole","train"
39289,"mexican","train"
36978,"indian","train"
15076,"mexican","train"
19754,"cajun_creole","train"
996,"italian","train"
28232,"greek","train"
6185,"southern_us","train"
22056,"southern_us","train"
8992,"greek","train"
6966,"chinese","train"
18034,"southern_us","train"
13191,"italian","train"
40980,"thai","train"
27754,"italian","train"
20942,"mexican","train"
4111,"southern_us","train"
47159,"southern_us","train"
44288,"french","train"
362,"french","train"
43159,"mexican","train"
38361,"french","train"
37495,"chinese","train"
17039,"southern_us","train"
11086,"filipino","train"
22470,"french","train"
41823,"italian","train"
8358,"cajun_creole","train"
19589,"french","train"
7921,"chinese","train"
37737,"chinese","train"
19837,"mexican","train"
47290,"irish","train"
7441,"mexican","train"
11757,"british","train"
32664,"indian","train"
11054,"spanish","train"
21587,"mexican","train"
4165,"italian","train"
43116,"cajun_creole","train"
33967,"italian","train"
18098,"mexican","train"
21301,"british","train"
49388,"russian","train"
6800,"italian","train"
14331,"irish","train"
25323,"chinese","train"
21178,"mexican","train"
9301,"italian","train"
25771,"southern_us","train"
34364,"italian","train"
2625,"indian","train"
19108,"italian","train"
39364,"jamaican","train"
30184,"italian","train"
37163,"korean","train"
46879,"italian","train"
8145,"mexican","train"
29502,"indian","train"
45233,"japanese","train"
38226,"irish","train"
29010,"spanish","train"
20807,"vietnamese","train"
29940,"mexican","train"
41175,"cajun_creole","train"
432,"mexican","train"
35704,"cajun_creole","train"
27107,"italian","train"
30253,"mexican","train"
48354,"greek","train"
43410,"greek","train"
27493,"cajun_creole","train"
19312,"mexican","train"
43740,"chinese","train"
29772,"southern_us","train"
28943,"irish","train"
48818,"southern_us","train"
26091,"italian","train"
4442,"italian","train"
21184,"chinese","train"
41957,"greek","train"
47126,"indian","train"
36336,"french","train"
6766,"french","train"
24986,"southern_us","train"
37870,"filipino","train"
44858,"italian","train"
11331,"japanese","train"
49021,"cajun_creole","train"
48469,"southern_us","train"
22434,"mexican","train"
12774,"cajun_creole","train"
47908,"filipino","train"
5125,"indian","train"
35305,"spanish","train"
9089,"southern_us","train"
45120,"spanish","train"
6860,"southern_us","train"
15482,"brazilian","train"
4687,"italian","train"
27279,"vietnamese","train"
39991,"italian","train"
42322,"italian","train"
28973,"korean","train"
30596,"southern_us","train"
41912,"mexican","train"
26452,"southern_us","train"
45335,"southern_us","train"
12704,"italian","train"
47713,"mexican","train"
43258,"italian","train"
17326,"spanish","train"
12354,"southern_us","train"
28421,"greek","train"
26463,"british","train"
17421,"chinese","train"
31667,"british","train"
14999,"filipino","train"
19160,"jamaican","train"
33615,"italian","train"
1827,"thai","train"
20874,"french","train"
12091,"french","train"
38294,"italian","train"
25791,"french","train"
37909,"mexican","train"
27669,"jamaican","train"
9651,"mexican","train"
40256,"greek","train"
45906,"indian","train"
43317,"chinese","train"
20485,"italian","train"
23151,"mexican","train"
13970,"french","train"
21532,"mexican","train"
32415,"vietnamese","train"
15765,"chinese","train"
7382,"moroccan","train"
4292,"indian","train"
12236,"mexican","train"
9906,"indian","train"
15077,"french","train"
12411,"japanese","train"
36156,"indian","train"
41824,"mexican","train"
28832,"thai","train"
15910,"italian","train"
48034,"indian","train"
15753,"russian","train"
26387,"indian","train"
40343,"italian","train"
23681,"japanese","train"
39356,"russian","train"
41963,"french","train"
9660,"russian","train"
7579,"cajun_creole","train"
37031,"southern_us","train"
11058,"mexican","train"
43855,"mexican","train"
30737,"greek","train"
19688,"spanish","train"
19580,"cajun_creole","train"
14840,"southern_us","train"
39263,"british","train"
25399,"italian","train"
10686,"spanish","train"
8174,"southern_us","train"
20095,"indian","train"
37194,"mexican","train"
20364,"greek","train"
18219,"southern_us","train"
11268,"italian","train"
25836,"chinese","train"
16502,"french","train"
24891,"russian","train"
36973,"jamaican","train"
31804,"korean","train"
38507,"mexican","train"
30304,"italian","train"
21100,"french","train"
36525,"italian","train"
34898,"indian","train"
49592,"mexican","train"
18165,"vietnamese","train"
21632,"mexican","train"
8,"french","train"
21462,"cajun_creole","train"
31,"mexican","train"
22063,"mexican","train"
32767,"mexican","train"
13467,"italian","train"
31611,"korean","train"
35374,"mexican","train"
27290,"korean","train"
34468,"italian","train"
8315,"italian","train"
47186,"mexican","train"
36480,"mexican","train"
4950,"italian","train"
40191,"southern_us","train"
7600,"japanese","train"
25519,"mexican","train"
19639,"italian","train"
23189,"italian","train"
32348,"italian","train"
2650,"southern_us","train"
16696,"mexican","train"
23068,"italian","train"
9812,"brazilian","train"
471,"italian","train"
9415,"italian","train"
4350,"italian","train"
8871,"thai","train"
35487,"thai","train"
14918,"chinese","train"
47029,"brazilian","train"
30081,"mexican","train"
23621,"indian","train"
3109,"british","train"
5451,"thai","train"
49566,"jamaican","train"
265,"japanese","train"
28255,"chinese","train"
16140,"french","train"
18452,"indian","train"
407,"italian","train"
16617,"spanish","train"
49558,"chinese","train"
43304,"russian","train"
28636,"italian","train"
18911,"italian","train"
32499,"mexican","train"
10216,"mexican","train"
14654,"vietnamese","train"
49068,"southern_us","train"
42535,"moroccan","train"
47932,"italian","train"
25006,"japanese","train"
14844,"russian","train"
23048,"italian","train"
16450,"russian","train"
27692,"mexican","train"
3569,"italian","train"
6898,"italian","train"
36215,"japanese","train"
49234,"indian","train"
41101,"chinese","train"
10378,"cajun_creole","train"
37627,"italian","train"
30532,"italian","train"
14287,"chinese","train"
26105,"italian","train"
17073,"italian","train"
10736,"southern_us","train"
17441,"italian","train"
17559,"mexican","train"
41076,"moroccan","train"
46122,"chinese","train"
8825,"mexican","train"
6578,"indian","train"
315,"italian","train"
10965,"irish","train"
18873,"italian","train"
40128,"chinese","train"
22634,"korean","train"
17405,"chinese","train"
203,"brazilian","train"
31766,"french","train"
24047,"italian","train"
2033,"mexican","train"
3254,"french","train"
31933,"italian","train"
23547,"french","train"
31004,"southern_us","train"
25069,"southern_us","train"
30148,"mexican","train"
41007,"italian","train"
46192,"italian","train"
5984,"italian","train"
46512,"french","train"
17313,"jamaican","train"
34568,"mexican","train"
6209,"italian","train"
14814,"mexican","train"
15018,"japanese","train"
601,"french","train"
32371,"italian","train"
37370,"italian","train"
9591,"mexican","train"
26324,"mexican","train"
27835,"french","train"
25811,"mexican","train"
34401,"indian","train"
38032,"italian","train"
43149,"mexican","train"
22394,"cajun_creole","train"
43839,"indian","train"
1889,"southern_us","train"
30741,"moroccan","train"
7795,"chinese","train"
4548,"thai","train"
6874,"mexican","train"
39658,"vietnamese","train"
21896,"russian","train"
23775,"italian","train"
16660,"mexican","train"
24807,"mexican","train"
15410,"greek","train"
25400,"italian","train"
20957,"moroccan","train"
44513,"italian","train"
4995,"french","train"
15860,"chinese","train"
27077,"indian","train"
4734,"japanese","train"
1972,"mexican","train"
27995,"mexican","train"
40555,"mexican","train"
25506,"spanish","train"
45401,"southern_us","train"
37768,"southern_us","train"
36697,"southern_us","train"
7840,"mexican","train"
49686,"indian","train"
41358,"chinese","train"
6340,"southern_us","train"
2177,"italian","train"
38286,"indian","train"
38715,"southern_us","train"
211,"italian","train"
14105,"mexican","train"
35232,"thai","train"
43131,"mexican","train"
17832,"chinese","train"
28881,"french","train"
13386,"mexican","train"
45390,"mexican","train"
39811,"mexican","train"
8703,"southern_us","train"
14471,"french","train"
40842,"spanish","train"
48845,"moroccan","train"
10297,"mexican","train"
34662,"brazilian","train"
36852,"italian","train"
13175,"mexican","train"
25507,"brazilian","train"
45304,"italian","train"
22843,"brazilian","train"
45021,"mexican","train"
929,"southern_us","train"
7212,"indian","train"
35436,"greek","train"
36578,"thai","train"
37555,"british","train"
3422,"cajun_creole","train"
44926,"italian","train"
7933,"brazilian","train"
2101,"italian","train"
27911,"moroccan","train"
12342,"italian","train"
9593,"mexican","train"
31676,"spanish","train"
30519,"italian","train"
28236,"italian","train"
12404,"korean","train"
16681,"italian","train"
13085,"indian","train"
10449,"italian","train"
5964,"italian","train"
30297,"korean","train"
3037,"mexican","train"
19712,"cajun_creole","train"
4400,"greek","train"
36837,"italian","train"
5066,"cajun_creole","train"
43111,"mexican","train"
35881,"korean","train"
830,"italian","train"
39871,"indian","train"
9543,"jamaican","train"
34128,"spanish","train"
21548,"korean","train"
20024,"russian","train"
5508,"southern_us","train"
37438,"mexican","train"
18105,"french","train"
25637,"mexican","train"
7583,"greek","train"
27856,"indian","train"
15730,"italian","train"
36443,"mexican","train"
1335,"spanish","train"
20552,"italian","train"
19493,"indian","train"
14223,"mexican","train"
47606,"mexican","train"
3628,"chinese","train"
41449,"chinese","train"
46681,"french","train"
16276,"mexican","train"
45530,"southern_us","train"
42296,"brazilian","train"
5241,"mexican","train"
20398,"italian","train"
33819,"mexican","train"
33542,"spanish","train"
30848,"greek","train"
24064,"french","train"
26782,"italian","train"
39914,"british","train"
46338,"cajun_creole","train"
20203,"thai","train"
26618,"italian","train"
32443,"indian","train"
48689,"mexican","train"
5161,"french","train"
11753,"korean","train"
38693,"southern_us","train"
36735,"vietnamese","train"
25566,"mexican","train"
5862,"thai","train"
30323,"southern_us","train"
18003,"russian","train"
44986,"russian","train"
11253,"southern_us","train"
32130,"vietnamese","train"
37360,"thai","train"
11971,"greek","train"
21944,"southern_us","train"
14864,"french","train"
20252,"southern_us","train"
48165,"italian","train"
29198,"mexican","train"
32566,"greek","train"
31918,"indian","train"
28271,"vietnamese","train"
1112,"italian","train"
27609,"russian","train"
42505,"japanese","train"
24843,"indian","train"
26207,"russian","train"
16555,"french","train"
21605,"italian","train"
42041,"spanish","train"
1492,"greek","train"
36727,"spanish","train"
33492,"mexican","train"
43710,"southern_us","train"
45917,"southern_us","train"
18317,"southern_us","train"
44930,"southern_us","train"
40607,"mexican","train"
14911,"southern_us","train"
31991,"italian","train"
14184,"southern_us","train"
6037,"french","train"
45691,"mexican","train"
44042,"italian","train"
14003,"southern_us","train"
18446,"filipino","train"
48190,"russian","train"
20671,"indian","train"
16035,"indian","train"
8833,"cajun_creole","train"
22109,"mexican","train"
41204,"greek","train"
18137,"chinese","train"
14256,"mexican","train"
44969,"spanish","train"
13385,"french","train"
24754,"mexican","train"
37588,"mexican","train"
27940,"indian","train"
37089,"indian","train"
44543,"indian","train"
39457,"italian","train"
10249,"thai","train"
38783,"indian","train"
27440,"french","train"
44019,"mexican","train"
25361,"chinese","train"
39310,"italian","train"
14138,"italian","train"
24646,"spanish","train"
216,"korean","train"
19294,"italian","train"
46868,"cajun_creole","train"
36609,"british","train"
7456,"cajun_creole","train"
12008,"japanese","train"
22517,"thai","train"
22247,"greek","train"
6814,"italian","train"
6769,"russian","train"
20097,"mexican","train"
24301,"mexican","train"
14318,"mexican","train"
39899,"spanish","train"
19716,"french","train"
17705,"mexican","train"
17522,"vietnamese","train"
31269,"greek","train"
13752,"italian","train"
46927,"chinese","train"
7719,"italian","train"
45785,"japanese","train"
3301,"italian","train"
9249,"southern_us","train"
9330,"irish","train"
12164,"indian","train"
6231,"brazilian","train"
1031,"indian","train"
12536,"thai","train"
37233,"southern_us","train"
23036,"british","train"
11775,"chinese","train"
25909,"mexican","train"
957,"italian","train"
2583,"mexican","train"
11610,"thai","train"
47016,"jamaican","train"
32275,"cajun_creole","train"
44225,"vietnamese","train"
11996,"chinese","train"
40913,"southern_us","train"
27212,"southern_us","train"
35593,"french","train"
9443,"italian","train"
7353,"chinese","train"
19467,"french","train"
34521,"chinese","train"
46134,"russian","train"
8625,"mexican","train"
26085,"japanese","train"
13449,"mexican","train"
15096,"thai","train"
17244,"spanish","train"
17312,"southern_us","train"
7603,"southern_us","train"
15724,"southern_us","train"
9465,"italian","train"
11789,"southern_us","train"
40967,"vietnamese","train"
47982,"chinese","train"
25860,"chinese","train"
38399,"british","train"
26534,"greek","train"
36555,"mexican","train"
2910,"italian","train"
7429,"mexican","train"
19268,"italian","train"
46759,"french","train"
15532,"italian","train"
35878,"mexican","train"
19708,"indian","train"
9864,"italian","train"
45888,"italian","train"
42011,"italian","train"
41,"mexican","train"
27740,"greek","train"
10700,"french","train"
22757,"southern_us","train"
39482,"mexican","train"
13944,"mexican","train"
19768,"french","train"
26133,"mexican","train"
2905,"mexican","train"
270,"southern_us","train"
48843,"southern_us","train"
25195,"filipino","train"
9746,"southern_us","train"
21549,"southern_us","train"
25675,"mexican","train"
42945,"southern_us","train"
23436,"korean","train"
10150,"irish","train"
14509,"indian","train"
2487,"indian","train"
43627,"southern_us","train"
19552,"italian","train"
21508,"cajun_creole","train"
36637,"thai","train"
33645,"spanish","train"
14432,"mexican","train"
7142,"french","train"
40439,"japanese","train"
21219,"greek","train"
6929,"italian","train"
27711,"southern_us","train"
41144,"mexican","train"
23685,"cajun_creole","train"
41260,"vietnamese","train"
37037,"french","train"
41854,"japanese","train"
36992,"chinese","train"
3025,"korean","train"
22816,"french","train"
21457,"greek","train"
1076,"chinese","train"
5299,"french","train"
36586,"italian","train"
47802,"southern_us","train"
3101,"french","train"
41710,"filipino","train"
9927,"mexican","train"
45123,"italian","train"
28586,"italian","train"
22231,"cajun_creole","train"
16037,"brazilian","train"
35464,"southern_us","train"
12712,"mexican","train"
19440,"mexican","train"
30072,"greek","train"
41863,"mexican","train"
39071,"indian","train"
41132,"mexican","train"
42818,"italian","train"
13209,"mexican","train"
28621,"indian","train"
21714,"chinese","train"
20776,"southern_us","train"
1838,"mexican","train"
37757,"italian","train"
42097,"spanish","train"
45394,"cajun_creole","train"
29478,"mexican","train"
30664,"italian","train"
2363,"mexican","train"
11133,"italian","train"
32736,"mexican","train"
41440,"italian","train"
29908,"chinese","train"
48516,"southern_us","train"
10461,"irish","train"
17858,"thai","train"
49040,"japanese","train"
25574,"italian","train"
38872,"cajun_creole","train"
21674,"british","train"
39368,"mexican","train"
12973,"italian","train"
7769,"thai","train"
8029,"italian","train"
43234,"british","train"
45406,"cajun_creole","train"
22956,"chinese","train"
2241,"japanese","train"
3763,"italian","train"
30893,"italian","train"
22652,"italian","train"
8756,"chinese","train"
11659,"southern_us","train"
3306,"mexican","train"
48252,"southern_us","train"
41575,"italian","train"
15438,"southern_us","train"
38461,"cajun_creole","train"
47184,"southern_us","train"
4688,"italian","train"
5227,"mexican","train"
46256,"british","train"
42840,"french","train"
33928,"italian","train"
37965,"southern_us","train"
29445,"french","train"
9421,"french","train"
19724,"japanese","train"
48518,"italian","train"
47661,"southern_us","train"
37600,"russian","train"
40494,"thai","train"
33643,"mexican","train"
14915,"chinese","train"
858,"filipino","train"
25275,"french","train"
12677,"italian","train"
44408,"italian","train"
33191,"italian","train"
35448,"italian","train"
